"Record_number","Entry_date","Study_number","Author","Duplicate_record","Quality_flag","Contributor","Country","Region","Site_name","Site_ID","Study_midyear","YearsOfData","Latitude","Longitude","Elevation","Manipulation","Manipulation_level","Age_ecosystem","Age_disturbance","Species","Biome","Ecosystem_type","Ecosystem_state","Leaf_habit","Stage","Soil_type","Soil_drainage","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","MAT","MAP","PET","Study_temp","Study_precip","Meas_method","Collar_height","Collar_depth","Chamber_area","Time_of_day","Meas_interval","Annual_coverage","Partition_method","Rs_annual","Rs_annual_err","Rs_interann_err","Rlitter_annual","Ra_annual","Rh_annual","RC_annual","Rs_spring","Rs_summer","Rs_autumn","Rs_winter","Rs_growingseason","Rs_wet","Rs_dry","RC_seasonal","RC_season","GPP","ER","NEP","NPP","ANPP","BNPP","NPP_FR","TBCA","Litter_flux","Rootlitter_flux","TotDet_flux","Ndep","LAI","BA","C_veg_total","C_AG","C_BG","C_CR","C_FR","C_litter","C_soilmineral","C_soildepth","Notes","Site2","Site.match"
2011,"2009-05-26",2809,"Vasconcelos",NA,"","BBL","Brazil","","UFRA Field Station","BR-UFS-CK",2002,1,-1.32,-47.95,"","None","",NA,"15","Lacistema pubescens; Myrcia sylvatica; Vismia guianensis; Cupania scrobiculata","Tropical","Evergreen Forest","Natural","Evergreen","Aggrading","Sombriustox","Dry",NA,NA,NA,NA,NA,25.5,2539,NA,NA,"2301","IRGA",10,2,103.82,"",14,1,"",1988,126,279,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,383,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,"","-1.32 -47.95","-1.25 -47.75"
2012,"2009-05-26",2809,"Vasconcelos",NA,"","BBL","Brazil","","UFRA Field Station","BR-UFS-IRG",2002,1,-1.32,-47.95,"","Irrigation","5 mm/day",NA,"15","Lacistema pubescens; Myrcia sylvatica; Vismia guianensis; Cupania scrobiculata","Tropical","Evergreen Forest","Natural","Evergreen","Aggrading","Sombriustox","Dry",NA,NA,NA,NA,NA,25.5,2539,NA,NA,"2301","IRGA",10,2,103.82,"",14,1,"",2237,158,153,626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,415,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,"","-1.32 -47.95","-1.25 -47.75"
2013,"2009-05-26",2809,"Vasconcelos",NA,"","BBL","Brazil","","UFRA Field Station","BR-UFS-LRM",2002,1,-1.32,-47.95,"","Litter removed","",NA,"15","Lacistema pubescens; Myrcia sylvatica; Vismia guianensis; Cupania scrobiculata","Tropical","Evergreen Forest","Natural","Evergreen","Aggrading","Sombriustox","Dry",NA,NA,NA,NA,NA,25.5,2539,NA,NA,"2301","IRGA",10,2,103.82,"",14,1,"",1429,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,368,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,"","-1.32 -47.95","-1.25 -47.75"
2015,"2009-05-26",2831,"Wieser",NA,"","BBL","Austria","","Klimhaus Research Station","AT-KRS",2002,1.3,47,11,"1950","None","",NA,"95","Pinus cembra","Temperate","Evergreen Forest","Natural","Evergreen","Mature","Haplic podzol","Dry",NA,NA,NA,NA,NA,2.4,950,NA,NA,"","IRGA",15,7,290,"",5,1,"",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","47 11","47.25 10.75"
2016,"2009-05-26",2842,"Yazaki",NA,"","BBL","Japan","","Sugadaira Montane Research Center","JP-SMR",2000,1,36.52,138.35,"1300","None","",NA,"","Miscanthus sinensis","Temperate","Grassland","Natural","Deciduous","Mature","Andosols","Dry",NA,NA,NA,NA,NA,NA,NA,NA,6.5,"1288","IRGA",NA,NA,NA,"",30,0.67,"Extraction",1387,NA,15,NA,649,738,0.47,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,-56,1207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,1592,NA,NA,NA,NA,NA,"","36.52 138.35","36.75 138.25"
2017,"2009-05-26",2842,"Yazaki",NA,"","BBL","Japan","","Sugadaira Montane Research Center","JP-SMR",2001,1,36.52,138.35,"1300","None","",NA,"","Miscanthus sinensis","Temperate","Grassland","Natural","Deciduous","Mature","Andosols","Dry",NA,NA,NA,NA,NA,NA,NA,NA,6.1,"1396","IRGA",NA,NA,NA,"",30,0.67,"Extraction",1408,NA,15,NA,695,713,0.49,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,-100,1140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419,NA,NA,NA,NA,NA,NA,"","36.52 138.35","36.75 138.25"
2018,"2009-05-26",2844,"Curiel Yuste",NA,"","BBL","Belgium","","De Inslag Forest","BE-DIF-PINENU",2001,1,51.3,4.52,"16","None","",NA,"72","Pinus sylvestris","Temperate","Evergreen Forest","Unmanaged","Evergreen","Mature","Umbric Regosol","Dry",NA,NA,NA,NA,NA,9.8,750,NA,NA,"","IRGA",16,NA,314,"",5,1,"",458,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stand age from http://www.bgc-jena.mpg.de/public/carboeur/sites/braschaat.html","51.3 4.52","51.25 4.75"
2019,"2009-05-26",2844,"Curiel Yuste",NA,"","BBL","Belgium","","De Inslag Forest","BE-DIF-PINER",2001,1,51.3,4.52,"16","None","",NA,"72","Pinus sylvestris","Temperate","Evergreen Forest","Unmanaged","Evergreen","Mature","Umbric Regosol","Dry",NA,NA,NA,NA,NA,9.8,750,NA,NA,"","IRGA",16,NA,314,"",5,1,"",560,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stand age from http://www.bgc-jena.mpg.de/public/carboeur/sites/braschaat.html","51.3 4.52","51.25 4.75"
2020,"2009-05-26",2844,"Curiel Yuste",NA,"","BBL","Belgium","","De Inslag Forest","BE-DIF-PINE",2001,1,51.3,4.52,"16","None","",NA,"72","Pinus sylvestris","Temperate","Evergreen Forest","Unmanaged","Evergreen","Mature","Umbric Regosol","Dry",NA,NA,NA,NA,NA,9.8,750,NA,NA,"","IRGA",16,NA,314,"",5,1,"",492,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stand age from http://www.bgc-jena.mpg.de/public/carboeur/sites/braschaat.html","51.3 4.52","51.25 4.75"
2021,"2009-05-26",2844,"Curiel Yuste",NA,"","BBL","Belgium","","De Inslag Forest","BE-DIF-OKNU",2001,1,51.3,4.52,"16","None","",NA,"72","Quercus robur","Temperate","Deciduous Forest","Unmanaged","Deciduous","Mature","Umbric Regosol","Dry",NA,NA,NA,NA,NA,9.8,750,NA,NA,"","IRGA",16,NA,314,"",5,1,"",935,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stand age from http://www.bgc-jena.mpg.de/public/carboeur/sites/braschaat.html","51.3 4.52","51.25 4.75"
2022,"2009-05-26",2844,"Curiel Yuste",NA,"","BBL","Belgium","","De Inslag Forest","BE-DIF-OKR",2001,1,51.3,4.52,"16","None","",NA,"72","Quercus robur","Temperate","Deciduous Forest","Unmanaged","Deciduous","Mature","Umbric Regosol","Dry",NA,NA,NA,NA,NA,9.8,750,NA,NA,"","IRGA",16,NA,314,"",5,1,"",674,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stand age from http://www.bgc-jena.mpg.de/public/carboeur/sites/braschaat.html","51.3 4.52","51.25 4.75"
2023,"2009-05-26",2844,"Curiel Yuste",NA,"","BBL","Belgium","","De Inslag Forest","BE-DIF-OKE",2001,1,51.3,4.52,"16","None","",NA,"72","Quercus robur","Temperate","Deciduous Forest","Unmanaged","Deciduous","Mature","Umbric Regosol","Dry",NA,NA,NA,NA,NA,9.8,750,NA,NA,"","IRGA",16,NA,314,"",5,1,"",893,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stand age from http://www.bgc-jena.mpg.de/public/carboeur/sites/braschaat.html","51.3 4.52","51.25 4.75"
2024,"2009-05-27",2854,"Amos",NA,"","BBL","USA","Nebraska","University of Nebraska-Lincoln","US-UON-CK",2000,3,40.83,-96.65,"","Fertilized","",NA,"1","Glycine max; Zea mays","Temperate","Agriculture","Managed","Deciduous","Aggrading","Silt loam (Cumulic Hapludoll)","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","IRGA",NA,NA,41.83,"",14,1,"",1150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","40.83 -96.65","40.75 -96.75"
2025,"2009-05-27",2854,"Amos",NA,"","BBL","USA","Nebraska","University of Nebraska-Lincoln","US-UON-M1",2000,3,40.83,-96.65,"","Fertilized","",NA,"1","Glycine max; Zea mays","Temperate","Agriculture","Managed","Deciduous","Aggrading","Silt loam (Cumulic Hapludoll)","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","IRGA",NA,NA,41.83,"",14,1,"",1160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","40.83 -96.65","40.75 -96.75"
2026,"2009-05-27",2879,"Borken",NA,"","BBL","Germany","Solling","Solling-B0","DE-SOB-B0",1999.5,1,51.77,9.58,"375","None","",NA,"130","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Loamy silt (Dystric Cambisol)","Dry",NA,NA,NA,NA,NA,7.5,900,NA,NA,"802","Gas Chromatography",25,5,706.5,"",14,1,"Subtraction",540,60,7,NA,270,270,0.5,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","51.77 9.58","51.75 9.75"
2027,"2009-05-27",2879,"Borken",NA,"","BBL","Germany","Solling","Solling-B30","DE-SOB-B30",1999.5,1,51.77,9.58,"375","None","",NA,"130","Picea abies; Fagus sylvatica","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Loamy silt (Dystric Cambisol)","Dry",NA,NA,NA,NA,NA,7.5,900,NA,NA,"913","Gas Chromatography",25,5,706.5,"",14,1,"Subtraction",570,50,64,NA,330,240,0.58,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","51.77 9.58","51.75 9.75"
2028,"2009-05-27",2879,"Borken",NA,"","BBL","Germany","Solling","Solling-B70","DE-SOB-B70",1999.5,1,51.77,9.58,"375","None","",NA,"130","Fagus sylvatica; Picea abies","Temperate","Deciduous Forest","Managed","Deciduous","Mature","Loamy silt (Dystric Cambisol)","Dry",NA,NA,NA,NA,NA,7.5,900,NA,NA,"1056","Gas Chromatography",25,5,706.5,"",14,1,"Subtraction",640,210,49,NA,410,230,0.64,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","51.77 9.58","51.75 9.75"
2029,"2009-05-27",2879,"Borken",NA,"","BBL","Germany","Solling","Solling-B100","DE-SOB-B100",1999.5,1,51.77,9.58,"375","None","",NA,"130","Fagus sylvatica","Temperate","Deciduous Forest","Managed","Deciduous","Mature","Loamy silt (Dystric Cambisol)","Dry",NA,NA,NA,NA,NA,7.5,900,NA,NA,"1106","Gas Chromatography",25,5,706.5,"",14,1,"Subtraction",640,60,92,NA,400,240,0.63,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","51.77 9.58","51.75 9.75"
2030,"2009-05-27",2879,"Borken",NA,"","BBL","Germany","Solling","Solling-B0","DE-SOB-B0",2000.5,1,51.77,9.58,"375","None","",NA,"130","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Loamy silt (Dystric Cambisol)","Dry",NA,NA,NA,NA,NA,7.5,900,NA,NA,"802","Gas Chromatography",25,5,706.5,"",14,1,"Subtraction",550,70,7,NA,270,280,0.49,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","51.77 9.58","51.75 9.75"
2031,"2009-05-27",2879,"Borken",NA,"","BBL","Germany","Solling","Solling-B30","DE-SOB-B30",2000.5,1,51.77,9.58,"375","None","",NA,"130","Picea abies; Fagus sylvatica","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Loamy silt (Dystric Cambisol)","Dry",NA,NA,NA,NA,NA,7.5,900,NA,NA,"913","Gas Chromatography",25,5,706.5,"",14,1,"Subtraction",660,50,64,NA,330,330,0.5,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","51.77 9.58","51.75 9.75"
2032,"2009-05-27",2879,"Borken",NA,"","BBL","Germany","Solling","Solling-B70","DE-SOB-B70",2000.5,1,51.77,9.58,"375","None","",NA,"130","Fagus sylvatica; Picea abies","Temperate","Deciduous Forest","Managed","Deciduous","Mature","Loamy silt (Dystric Cambisol)","Dry",NA,NA,NA,NA,NA,7.5,900,NA,NA,"1056","Gas Chromatography",25,5,706.5,"",14,1,"Subtraction",710,210,49,NA,410,300,0.58,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","51.77 9.58","51.75 9.75"
2033,"2009-05-27",2879,"Borken",NA,"","BBL","Germany","Solling","Solling-B100","DE-SOB-B100",2000.5,1,51.77,9.58,"375","None","",NA,"130","Fagus sylvatica","Temperate","Deciduous Forest","Managed","Deciduous","Mature","Loamy silt (Dystric Cambisol)","Dry",NA,NA,NA,NA,NA,7.5,900,NA,NA,"1106","Gas Chromatography",25,5,706.5,"",14,1,"Subtraction",770,60,92,NA,400,370,0.52,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","51.77 9.58","51.75 9.75"
2034,"2009-05-27",2879,"Borken",NA,"","BBL","Germany","Solling","Solling-ORB0","DE-SOB-B0",2000.5,1,51.77,9.58,"375","O-horizon removed","",NA,"130","Picea abies","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Loamy silt (Dystric Cambisol)","Dry",NA,NA,NA,NA,NA,7.5,900,NA,NA,"802","Gas Chromatography",25,5,706.5,"",14,1,"Subtraction",300,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","51.77 9.58","51.75 9.75"
2035,"2009-05-27",2879,"Borken",NA,"","BBL","Germany","Solling","Solling-ORB30","DE-SOB-B30",2000.5,1,51.77,9.58,"375","O-horizon removed","",NA,"130","Picea abies; Fagus sylvatica","Temperate","Evergreen Forest","Managed","Evergreen","Mature","Loamy silt (Dystric Cambisol)","Dry",NA,NA,NA,NA,NA,7.5,900,NA,NA,"913","Gas Chromatography",25,5,706.5,"",14,1,"Subtraction",370,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","51.77 9.58","51.75 9.75"
2036,"2009-05-27",2879,"Borken",NA,"","BBL","Germany","Solling","Solling-ORB70","DE-SOB-B70",2000.5,1,51.77,9.58,"375","O-horizon removed","",NA,"130","Fagus sylvatica; Picea abies","Temperate","Deciduous Forest","Managed","Deciduous","Mature","Loamy silt (Dystric Cambisol)","Dry",NA,NA,NA,NA,NA,7.5,900,NA,NA,"1056","Gas Chromatography",25,5,706.5,"",14,1,"Subtraction",380,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","51.77 9.58","51.75 9.75"
2037,"2009-05-27",2879,"Borken",NA,"","BBL","Germany","Solling","Solling-ORB100","DE-SOB-B100",2000.5,1,51.77,9.58,"375","O-horizon removed","",NA,"130","Fagus sylvatica","Temperate","Deciduous Forest","Managed","Deciduous","Mature","Loamy silt (Dystric Cambisol)","Dry",NA,NA,NA,NA,NA,7.5,900,NA,NA,"1106","Gas Chromatography",25,5,706.5,"",14,1,"Subtraction",480,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","51.77 9.58","51.75 9.75"
2042,"2009-05-27",2904,"Curtis",NA,"","BBL","USA","Michigan","University of Michigan Biological Station","US-UOM",1999,1,45.59,-84.71,"","None","",NA,"80","Populus grandidentata; Quercus rubra; Acer rubrum","Temperate","Deciduous Forest","Natural","Deciduous","Mature","Spodosols","Dry",NA,NA,93,6,1,5.5,817,NA,NA,"","IRGA",NA,2,78.5,"",7,1,"",1116,43,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1637,1323,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","45.59 -84.71","45.75 -84.75"
2043,"2009-05-27",2904,"Curtis",NA,"","BBL","USA","Michigan","University of Michigan Biological Station","US-UOM",2000,1,45.59,-84.71,"","None","",NA,"80","Populus grandidentata; Quercus rubra; Acer rubrum","Temperate","Deciduous Forest","Natural","Deciduous","Mature","Spodosols","Dry",NA,NA,93,6,1,5.5,817,NA,NA,"","IRGA",NA,2,78.5,"",7,1,"",987,37,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1580,1235,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","45.59 -84.71","45.75 -84.75"
2044,"2009-05-27",2904,"Curtis",NA,"","BBL","USA","Michigan","University of Michigan Biological Station","US-UOM",2001,1,45.59,-84.71,"","None","",NA,"80","Populus grandidentata; Quercus rubra; Acer rubrum","Temperate","Deciduous Forest","Natural","Deciduous","Mature","Spodosols","Dry",NA,NA,93,6,1,5.5,817,NA,NA,"","IRGA",NA,2,78.5,"",7,1,"",1005,37,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1614,1178,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","45.59 -84.71","45.75 -84.75"
2045,"2009-05-27",2904,"Curtis",NA,"","BBL","USA","Michigan","University of Michigan Biological Station","US-UOM",2002,1,45.59,-84.71,"","None","",NA,"80","Populus grandidentata; Quercus rubra; Acer rubrum","Temperate","Deciduous Forest","Natural","Deciduous","Mature","Spodosols","Dry",NA,NA,93,6,1,5.5,817,NA,NA,"","IRGA",NA,2,78.5,"",7,1,"",946,34,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1549,1240,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","45.59 -84.71","45.75 -84.75"
2046,"2009-05-27",2904,"Curtis",NA,"","BBL","USA","Michigan","University of Michigan Biological Station","US-UOM",2003,1,45.59,-84.71,"","None","",NA,"80","Populus grandidentata; Quercus rubra; Acer rubrum","Temperate","Deciduous Forest","Natural","Deciduous","Mature","Spodosols","Dry",NA,NA,93,6,1,5.5,817,NA,NA,"","IRGA",NA,2,78.5,"",7,1,"",960,32,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1545,1127,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","45.59 -84.71","45.75 -84.75"
2048,"2009-05-27",2921,"Elberling",NA,"","BBL","Denmark","Zealand","Nødebo","DK-NOD-BEECH",2000.5,1.3,55,12,"","None","",NA,"23","Fagus sylvatica","Temperate","Deciduous Forest","Natural","Deciduous","Aggrading","Sandy moraine (Typic Udorthents)","Dry",0.84,NA,NA,NA,NA,NA,NA,NA,NA,"","IRGA",NA,NA,NA,"",7,1,"",595,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,420,1343,NA,NA,560,8800,NA,"","55 12","55.25 11.75"
2049,"2009-05-27",2921,"Elberling",NA,"","BBL","Denmark","Zealand","Nødebo","DK-NOD-FAGUS",2000.5,1.3,55,12,"","None","",NA,"41","Picea abies","Temperate","Evergreen Forest","Natural","Evergreen","Aggrading","Sandy moraine (Typic Udorthents)","Dry",0.95,NA,NA,NA,NA,NA,NA,NA,NA,"","IRGA",NA,NA,NA,"",7,1,"",646,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4730,13700,NA,"","55 12","55.25 11.75"
2050,"2009-05-27",2926,"Fahey",NA,"Q02","BBL","USA","New Hampshire","Hubbard Brook-W6","US-NHB",2000,5,43.93,-71.75,"600","None","",NA,"85","Fagus grandifolia; Acer saccharum; Betula alleghaniensis","Temperate","Deciduous Forest","Natural","Deciduous","Mature","Spodosols (Typic Haplorthods)","Dry",NA,NA,NA,NA,NA,NA,1395,NA,NA,"","IRGA",NA,NA,NA,"",30,0.5,"Exclusion",660,54,NA,NA,260,400,0.39,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,535,354,181,91,478,198,92,290,NA,6.3,NA,12006,9495,2511,NA,NA,2970,15740,NA,"Ancillary data from #2925","43.93 -71.75","43.75 -71.75"
2056,"2009-05-27",2929,"Fierer",NA,"","BBL","USA","California","Sedgwick Reserve","US-SDR",1997.5,1,34.7,-120.05,"","None","",NA,"","Bromus spp.; Avena spp.; Vulpia myuros","Mediterranean","Grassland","Natural","Deciduous","Mature","Typic Argixeroll","Dry",NA,NA,NA,NA,NA,22,500,NA,NA,"1334","IRGA",NA,5,NA,"",21,1,"",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","34.7 -120.05","34.75 -120.25"
2057,"2009-05-27",2929,"Fierer",NA,"","BBL","USA","California","Sedgwick Reserve","US-SDR",1998.5,1,34.7,-120.05,"","None","",NA,"","Bromus spp.; Avena spp.; Vulpia myuros","Mediterranean","Grassland","Natural","Deciduous","Mature","Typic Argixeroll","Dry",NA,NA,NA,NA,NA,22,500,NA,NA,"425","IRGA",NA,5,NA,"",21,1,"",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","34.7 -120.05","34.75 -120.25"
2058,"2009-05-27",2929,"Fierer",NA,"","BBL","USA","California","Sedgwick Reserve","US-SDR",1999.5,1,34.7,-120.05,"","None","",NA,"","Bromus spp.; Avena spp.; Vulpia myuros","Mediterranean","Grassland","Natural","Deciduous","Mature","Typic Argixeroll","Dry",NA,NA,NA,NA,NA,22,500,NA,NA,"537","IRGA",NA,5,NA,"",21,1,"",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","34.7 -120.05","34.75 -120.25"
2067,"2009-05-29",2960,"Hibbard",NA,"","BBL","USA","","Cascade Head","US-CAH",2001.5,2,45.1,-123.9,"222","None","",NA,"","","Temperate","Evergreen Forest","Natural","Evergreen","Mature","","Dry",NA,NA,NA,NA,NA,10.5,2800,NA,NA,"","IRGA",NA,6.5,NA,"",NA,NA,"",1805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,198,NA,NA,NA,9.6,NA,NA,NA,NA,NA,595,NA,NA,NA,"","45.1 -123.9","45.25 -123.75"
2069,"2009-05-29",2960,"Hibbard",NA,"","BBL","USA","Oregon","H.J. Andrews","US-HJA",2001.5,2,44.25,-122.19,"781","None","",NA,"","","Temperate","Evergreen Forest","Natural","Evergreen","Mature","","Dry",NA,NA,NA,NA,NA,8.3,2100,NA,NA,"","IRGA",NA,6.5,NA,"",NA,NA,"",1232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,7.4,NA,NA,NA,NA,NA,936,NA,NA,NA,"","44.25 -122.19","44.25 -122.25"
2070,"2009-05-29",2960,"Hibbard",NA,"","BBL","USA","Maine","Howland Forest","US-HLF",1999,5,45.2,-68.7,"60","None","",NA,"90","","Temperate","Evergreen Forest","Natural","Evergreen","Mature","","Dry",NA,NA,NA,NA,NA,5.7,1040,NA,NA,"","IRGA",NA,6.5,NA,"",NA,NA,"",735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",909,NA,NA,NA,NA,NA,NA,NA,157.5,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","45.2 -68.7","45.25 -68.75"
